ID,Source,Title,Content,Timestamp,Ours,Voicelab,Clarin,Textclass,Ner
1580,14888,medyczka,Maly palec u nogi,Witam.Po pielgrzymce na małym palcu u nogi zrobił mi się pęcherz. Pęcherz wszedł pod paznokieć i wypchnął go.Teraz po przebiciu mój palec stracił paznokcia i znaczną część naskórka. Aktualnie nie mogę założyć żadnego buta a za 5 dni jadę w góry i potrzebuje tę ranę szybko wygoić. Znacie jakieś sposby. Jeśli nie zdążę wygoić tego palca to co polecacie? Jakie plastry?,27-08-2011,"wygoić
pęcherz
palec
paznokcia
małym palcu","naskórek
palec
pęcherz","naskórek
wygoić palec
pęknięcie
palec",,
1445,14901,medyczka,"Trans, ogłupienie, niemożność poruszenia się.","Witam,mam problem dość złóżonej natury. Nie chcę iść do specjalisty, bo boję się być uznana za hipochondryczkę. Przez długi czas (jakieś 1,5 roku) mam coraz bardziej nasilające się dziwne objawy. Kiedyś wystę powały raz na kilka tygodni, teraz codziennie! Staram się, żeby nikt tego nie zauważył, przestałam nawet wychodzić z domu.....Ale do sedna! Moje objawy to: ni z tego ni z owego zapadanie w swego rodzaju trans. Objawia się on tym, że gapię się w jakiś punkt i nic nie czuję, nie potrafię wtedy nic powiedzieć, nie za bardzi kontaktuję się z otoczeniam. Do tego nic nie myślę, taki totalny bezruch i pustka. Jeśli jednak zapadnę na ten trans w czyimś towarzystwie to machinalnie wykonuję jego polecenia. Jestem jak robot. Inne objawy: pogorszenie się wzroku, mało energii i entuzjazmu, ogólna apatia, dziwne bule i drętwienie ciała, zwłaszcza w stawach. Czy jesteście w stanie jakoś to zdiagnozować? Martwi mnie ten stan ;(.",12-08-2011,"dziwne objawy
rodzaju trans
ogólna apatia
entuzjazmu
dziwne bule","hipochondryczka
trans","hipochondryczka
wystepowanie złóżonej natury
zaburzenia wzroku
trans",zdrowie,
680,14909,medyczka,prześwietlenie płuc,"Witam Od jakiegoś czasu mam kaszel i duszności, dostałem skierowanie na prześwietlenie. opis prześwietlenia :""Płuca bez zmian naciekowych Wnęki naczyniowe , przeciętnej szerokości, lewa wnęka obficiej wypełniona - zmian węzłowych nie można wykluczyć .""O co chodzi z tymi zmianami węzłowymi?Z góry dziękuję Pozdrawiam S.K",15-08-2011,"lewa wnęka
prześwietlenie
przeciętnej szerokości
skierowanie
wypełniona","kaszel
kaszel i duszności
prześwietlanie
zmiany węzłowe","zmiany węzłowe
kaszel
prześwietlenie","zdrowie
zagranica",S.K
1641,14917,medyczka,"ANALIZA żywej kropli krwi, suplementy NUTRILITE","Czy analiza żywej kropli krwi [/B][/COLOR](pobrana z palca i ogladana pod mikroskopem, widac tam grzyby, pasozyty, mozna rozpoznac czy krew jest zakwaszona) jest wiarygodna metoda diagnostyczna? A jesli wyniki tej analizy swiadcza o zakwaszeniu organizmu i proponuje sie wtedy kuracje odkwaszajaca proszkiem zasadowym dr Auera polaczona ze stosowaniem suplementow firmy Nutrilite (powiazana z Amway)tj magnez i wapn, czosnek, Omega 3 oraz przewage produktow zasadowych w diecie. Czy te suplementy sa bezpieczne? Maja podobno wiecej skladnikow aktywnych niz te z apteki i odczyn zasadowy. Wszystko to oferuje klinika dietetyki (przyjmuja tam tez lekarze). Pani z tej kliniki twierdzi ze teorie o zakwaszeniu organizmu opieraja sie na medycynie chinskiej, a ona zajmuje sie medycyna holistyczna w duzym stopniu opartej na medycynie chinskiej i maja zwiazek z medycyna komorkowa. Czy teoria o zakwaszenu organizmu ma potwierdzenie we wspolczesnej medycynie. Jest chyba cos takiego jak kwasica i zasadowica i koniecznosc utrzymania wlasciwego ph krwi. A jonizatory wody wytwarzajace wode zasadoa albo kwasna? Czy ich skutecznosc jest potwierdzona medycznie? Chodzi o dobroczynny wplyw wody jonizowanej (przeciwdziala zakwaszeniu)",04-08-2011,"medycynie chinskiej
zakwaszeniu organizmu
maja
medycyna holistyczna
czosnek","analiza krwi
kwasica
preparaty odkwaszajace
proszek zasadowy
","metoda diagnostyczna
zakwaszenie organizmu
dieta holistyczna
suplementy","zdrowie
zagranica","chinskiej
Auer
Nutrilite
Amway
Omega"
1890,14919,medyczka,Ostroga piętowa,Witam.Chciałbym sie dowiedziec jaką częstotliwość posiada urządzenie do leczenia ostrogi ultradźwiękami.,02-08-2011,"urządzenie
częstotliwość
leczenia ostrogi ultradźwiękami","ultradźwięki
leczenie ostrogi ultradźwiękami","badania ultradźwiękowe
ultradźwięki
tomografia komputerowa","zdrowie
zagranica",
1621,14921,medyczka,Problem z biodrami,"Mój znajomy (19l.) przez 8 lat był antysportem . W tej chwili ma poważny kłopot z biodrami .Rozciąga się codziennie po kilka godzin co poszerza jego największy rozstaw nog (ok.1,5-2m) o 30 cm. Po kilku godzinach od rozciagania rozstaw kurczy się ,a biodra nadal ściągaja jego nogi . Rozciaga się już tak od roku co bardzo mu przeszkadza ponieważ chodzi na treningi sztuk walki gdzie nie ma żadnych efektów mimo ciężkiej pracy . Chciałabym mu pomóc. Problem tkwi w jego biodrach . Prosze o pomoc. Dziękuję .",31-07-2011,"poważny kłopot
chwili
biodrami
nogi
rozciagania rozstaw","biodra
sport
sport walki","biodra
antysport
biodra","sport
zagranica",
1238,14934,medyczka,Ból nogi ...,"Dzień dobry chciała bym poprosić o radę. W listopadzie zeszłego roku przewróciłam się na torach kolejowych i byłam cała poobijana .Po jakimś czasie został mi tylko ból nogi na której miałam ogromnego siniaka . Bolało zazwyczaj gdy ćwiczyłam na wf , biegałam itp.Jednak od 2 dni noga boli nawet jak chodzę i to boli tak że nie mogę chodzić jak zwykle tylko inaczej .Czy powinnam się zgłosić z tym do lekarza czy może samo przejdzie ??",19-07-2011,"ból nogi
czasie
ogromnego siniaka
torach kolejowych
radę","boli noga
noga boli
tor kolejowy","poobijana
ból
tor kolejowy
rehabilitacja",,
108,14938,medyczka,bolące nogi,Cześć mam 22 lata jestem mężczyzną i mam problem ponieważ bolą mnie nogi szczególnie mięśnie łydek i trochę w kolanach - nawet gdy nie chodzę za dużo co może być przyczyną takiego stanu rzeczy -- dodam że miałam badania i wyszło że chyba jak dobrze pamiętam mam za mało magnezu - - w czasie licealnym dużo biegałam nawet 10km codziennie i moje mięsnie łydek są bardzo rozwinięte widać je - ma umięśnioone łydki teraz nie biegam - a jak biegam to rzadko dodam tylko jkeszcze że mam także problem z nadmierną potliwością a mianowicie pocę się w szkole w pracy kiedy siedzę w domu to nie następuje ? i nawet na wf kiedy inni po 20 min są w ogóle niespoceni to ja jestem już wtdey bardzo spocony - dodam że jak teraz chcciałem pobiec dłuższy dystans tj ponad 2km to łapią mnie skurcze że nie mogę dalej biec ?i jescze jedno jak leżę i podnosę nogi na wysokość ponad 20 cm od poziomu mmojego ciała to drętwieją mi nogi gdy obniżę przez chwilę nie mam czucia w nogach i po około 2 min mrowienia wraca już normalnie czucie w nogach?,12-07-2011,"nogi
problem
mięśnie łydek
nogach
obniżę","łydki
mięśnie łydek
potliwość","mięśnie łydek
potliwość
mrowienie
łydki
zmęczenie",,
1937,1495,medyczka,Pimafucort,Witam. Ostatnio byłem u pani urolog która przepisała mi maść na grzybicę penisa pimafucort. Mam pytanie odnośnie stosowania maści. Czy smarować penisa czyli nanieść maść na skórę czy trzeba smarować bezpośrednio żołędzia pod skórą ?,02-12-2018,"grzybicę penisa pimafucort
maść
stosowania maści
pytanie
skórę","grzybica penisa
pimafucort
smarowanie penisa","maść na skórę
penis pimafucort
grzybica penisa",,
1623,14951,medyczka,"Czerwone plamy na kolanach, wysoka gorączka wymioty","Witam, mam problem. Od 3 dni nie wiem co mi jest, mam 3cm czerwone plamy na kolanach, plamy są lekko opuchnięte. Mam bardzo wysoką gorączkę do 40 stopni, czasem temperatura spada. Miewam też wymioty, z samego rana albo w nocy. Bolą mnie mięśnie, stawy i głowa. Jestem bardzo osłabiona. Byłam u lekarza i powiedział że to zapalenie wirusowe, przypisał mi tabletki Duomox ale nie widzę po nich poprawy. Proszę o pomoc.",25-06-2011,"czerwone plamy
stawy
mięśnie
głowa
kolanach","Duomox
choroba wirusowa
zapalenie wirusowe","choroba wirusowa
zapalenie wirusowe
bóle mięśniowe",zagranica,Duomox
584,14975,medyczka,choroby limfatyczne,"Witam, chciałabym sie dowiedziec jakie są choroby układu limfatycznego. Znalazłam: obrzęk limfatyczny, zapalenie naczyń chłonnych, choroba Hodgkina, słoniowacizna. Muszę napisac referat i potrzebowałabym jeszcze kilka chorób a nie mogę znaleźc a u mnie w bibliotece niestety nie ma zbytnio ksiązek medycznych.",06-06-2011,"choroba hodgkina
zapalenie naczyń chłonnych
słoniowacizna
obrzęk limfatyczny
referat","choroba Hodgkina
choroby limfatyczne
choroby układu limfatycznego","choroba Hodgkina
choroby układu limfatycznego
obrzęk limfatyczny",zdrowie,Hodgkina
1914,14981,medyczka,Niski poziom cukru,"Witam mam taki rpblem od kilku lat z poczatku nie zwracalem na to uwagi ale z czasem zaczal mi on przeszkadzac otóż mam coś takiego jeśli mi sie chce zjeść cos słodkiego a niemam tego ( cukier odpada ) to wpadam w szał , nie panuje nad soba niewiem cos sie dzieje ze mna i nie potrafie sie opanować , potem gdy juz sie np wyladuje pojawia sie u mnie sennosc ide spac budzac sie gdy wciaz niemam nic slodkiego do zjedzenia poprostu nie nadaje sie do niczego . Zjedzenie czegos np kanapek z pasztetem czy wedlina nie rozwiazuje sprawy wciaz czuje sie zle . Co mi jest ??",25-05-2011,"wciaz
kanapek
slodkiego
zwracalem
zjedzenia","dieta
dieta zywnosci
zywienie czlowieka","wedlina
slodki
zywienie
wedliny
poprostu
lesnictwo
",,
1399,14982,medyczka,Pytanie dot. przeciwciał anty-HBs (szczepienie),"Witam.Około rok temu miałem dość poważne złamanie ręki z przemieszczeniem kości. Po 3 dniach od tego zdarzenia miałem operację zespolenia tej kości za pomocą blaszki i wtedy nikt mnie się nie pytał czy byłem szczepiony na żółtaczkę. Minął rok od tego zdarzenia, mam mieć wyciąganą blaszkę i lekarz mówi, że przed operacją muszę być zaszczepiony na żółtaczkę. Ja nie jestem pewny trzy aby na pewno na żółtaczkę się szczepiłem, choć coś mi się przypomina, że przed ukończeniem 18 roku brałem ostatnią dawkę jakiejś szczepionki ale kompletnie nie pamiętam jakiej. W książeczce zdrowia dziecka nie mogę się doczytać bo wpisy szczepień (przynajmniej dla mnie) są nie czytelne. Jak zapytałem się lekarki rodzinnej to mi powiedziała, że rocznik 92 (ja) powinien być szczepiony na żółtaczkę. Przypomniało mi się, że wychodząc ze szpitala po tej operacji dostałem kartę informacyjną i tam jest spis badań na których pisze m.in:Przeciwciała anty-HBs (ilościowo) 405,56 mlU/ml, za ochronne uznaje się anty-HBs >10 mlU/ml.Czy to jest potwierdzenie, że jednak byłem szczepiony? Może zbyt jestem przewrażliwiony ale dość, że mam wątpliwości, czy byłem szczepiony na żółtaczkę to jeszcze się dowiedziałem, że kolega ze szkoły zachorował na żółtaczkę i to 'przewrażliwiło' mnie.Z góry dziękuję za pomoc, pozdrawiamPauliePS: W załączniku badania z karty informacyjnej.",23-05-2011,"żółtaczkę
szczepiony
zdarzenia
przemieszczeniem kości
rok","anty-HBs
szczepienia na choroby zakaźne","szczepionki przeciw-HBs
szczepienia anty-Hbs",,
1438,14983,medyczka,Sanepid,"Witam. Ostatnio robiłem sobie badania epidemiologiczne, ale niestety okazało się, że tylko wyrzuciłem pieniądze, bo badania nie zakończyły się sukcesem. W moim układzie pokarmowym nie było żadnych bakterii i pani powiedziała, że to tak jakbym oddał czyste próbki. Najprawdopodobniej spowodowane jest to lekami, które brałem w trakcie pobierania próbek (NOLICIN 400mg). Muszę powtórzyć badanie i dlatego mam pytanie. Próbki muszę pobierać w niedzielę wieczorem i w poniedziałek i wtorek rano, tylko nie wiem czy jest sens, czy będę miał już florę bakteryjną, jeśli wczoraj (19.05.2011 ok. godz. 8 rano) wziąłem ostatni BISEPTOL 960mg (brałem go przez 10 dni, po 2 tabletki dziennie). Proszę o radę i z góry dziękuję.PS: Biorę też FEMISEPT, ale to suplement diety, więc chyba nie ma większego wpływu?",20-05-2011,"czyste próbki
badania epidemiologiczne
poniedziałek
pytanie
trakcie pobierania próbek","BISEPTOL 960mg
NOLICIN 400 mg
bakterie","badania epidemiologiczne
BISEPTOL 960mg
bakterie
biomasa",,
590,15006,forummedyczne.edu.pl,"Słaba reakcja na leki przeciwgorączkowe, to zakażenie bakteryjne","Czy słaba odpowiedz na leki przeciwgorączkowe sugeruje, że przyczyną gorączki jest zakażenie bakteryjne? dr hab. n. med. Ernest Kuchar Klinika Pediatrii z Oddziałem Obserwacyjnym Warszawskiego Uniwersytetu Medycznego Gorączka jest fizjologiczną reakcją obronną na zakażenia. Występuje pod wpływem pirogenów, głównie interleukiny 1 (IL-1α i IL-1ß), czynnika martwicy nowotworów (TNF-α), interleukiny 6 (IL-6) oraz interferonów (IFN), które przestawiają set point w podwzgórzu na wyższą temperaturę. Na przebieg i wysokość gorączki wpływają też różne czynniki osobnicze i stosowne leki. Generalnie im silniejsze endogenne wytwarzanie pirogenów i większa osobnicza wrażliwość ośrodka termoregulacji, tym wyższa będzie gorączka, niezależnie od jej przyczyny. Wysoka, trudna do obniżenia gorączka może wystąpić w przebiegu zakażeń bakteryjnych (np. pneumokokowego zapalenia płuc), być reakcją na ciężkie albo powikłane zakażenie wirusowe (np. grypę, odrę, mononukleozę zakaźną, wirusowe zapalenie płuc, zapalenie opon mózgowo-rdzeniowych lub mózgu). Wyższą gorączkę zwykle obserwuje się u ogólnie zdrowych i silnych dzieci, które mają sprawniejsze mechanizmy homeostazy. Nie należy zatem przywiązywać dużej wagi do odpowiedzi na stosowane leki przeciwgorączkowe. Niesteroidowe leki przeciwzapalne i glikokortykosteroidy z reguły łagodzą gorączkę, z czego niestety nie można wyciągać istotnych wniosków terapeutycznych ani rokowniczych.",24-11-2016,"leki przeciwgorączkowe
gorączka
fizjologiczną reakcją obronną
przyczyną gorączki
interleukiny","gorączka
leki przeciwgorączkowe
zakażenie bakteryjne","zakażenie bakteryjne
interferony
pirogeny
choroby zakaźne",zdrowie,"Ernest Kuchar
Klinik Pediatrii z Oddziałem Obserwacyjnym
warszawski
Uniwersytet Medyczny"
1335,15057,forummedyczne.edu.pl,[Film] Krioaplikator Hemorosan - jak i czym leczyć hemoroidy,"Badania wykazują, że hemoroidy to choroba cywilizacyjna dotykająca zarówno osoby młodsze, jak i w starszym wieku. Skala problemu jest zatrważająca. Najważniejsza jest wczesna diagnostyka oraz dobór właściwego leczenia. Na rynku znajduje się bardzo wiele specyfików pomagających osobom chorym, ale nie wszystkie metody walki ze stanami zapalnymi hemoroidów są skuteczne i racjonalne. Dość popularne jest stosowanie gorących nasiadówek, czyli siadanie w bardzo ciepłej wodzie. Jest to absolutnie błędny sposób postępowania, gdyż gorące nasiadówki znacznie nasilają dolegliwości hemoroidalne! Przez podobne symptomy choroba hemoroidalna często mylona jest z pierwszymi objawami raka jelita grubego. Pamiętajmy, że są to dwie oddzielne jednostki chorobowe. Czterysta tysięcy przypadków zachorowań na raka jelita grubego odnotowuje się co roku na terenie Unii Europejskiej. Nieleczony rak jelita grubego jest cichym zabójcą naszych czasów zajmuje już drugie miejsce wśród naturalnych przyczyn zgonów. 6 na 10 chorych umiera, mimo, że rak wcześnie wykryty, jest prawie w 100% wyleczalny. Dlatego też tak istotna jest racjonalna profilaktyka, utrzymywanie wysokiej higieny końcowego odcinka przewodu pokarmowego, jak i regularne badania. W Łodzi powstał Krioaplikator Hemorosan - innowacyjny wyrób medyczny do łatwej i skutecznej walki ze stanami zapalnymi hemoroidów oraz do użytkowania w świadomej profilaktyce. Krioaplikator Hemorosan jako jedyny na świecie łączy funkcje: nośnika naturalnej krioterapii oraz skutecznego aplikatora lekarstw. Krioterapia polega na przyłożeniu zimna bezpośrednio w miejsca występowania stanów zapalnych, co przynosi natychmiastową ulgę, zmniejsza ból i świąd oraz tamuje krwawienie.",25-05-2017,"pierwszymi objawami raka jelita grubego
krioaplikator hemorosan
stanami zapalnymi hemoroidów
metody walki
badania","hemoroidy
choroba hemoroidalna
choroby jelita grubego","choroba hemoroidalna
siadanie w gorącej wodzie
nasiadówki gorące
choroby cywilizacyjne","badania medyczne
zdrowie
zagranica","Krioaplikator
Hemorosan
Unia Europejska
Łódź"
1830,15063,forummedyczne.edu.pl,Przyczyny powstawania raka płuc,"Niezaprzeczalnie, najbardziej znaczącą przyczyną raka płuca jest palenie papierosów. Około 90% przypadków raka płuca jest diagnozowanych u byłych lub obecnych palaczy. Pozostałe przypadki mogą być spowodowane ekspozycją na azbest lub uran, predyspozycjami genetycznymi lub paleniem biernym. Palenie papierosów Palenie powoduje 90% przypadków raka płuca - rocznie jest to około 21 000 zachorowań i 20 000 zgonów. Ryzyko zachorowania wzrasta ze wzrostem liczby wypalanych papierosów. Liczbę tę mierzy się często w tzw. ""paczkolatach"". Aby obliczyć liczbę paczkolat należy pomnożyć ilość wypalanych dziennie paczek papierosów przez liczbę lat palenia. Paczkolata pokazują ile lat zajęłoby Ci wypalenie wszystkich wypalonych przez Ciebie papierosów, gdybyś palił jedną paczkę dziennie. Jeśli rzuciłeś palenie, ryzyko zachorowania jest niższe niż gdybyś je kontynuował, jednak pozostaje wyższe, niż w przypadku gdybyś nigdy nie palił. Jeśli chcesz zminimalizować ryzyko raka płuca, nie pal. Jeśli palisz, rzuć. Jeśli nie palisz, nie zaczynaj. Inne przyczyny Wśród 10% chorych na raka płuca, którzy nigdy nie palili tytoniu innymi czynnikami ryzyka mogą być: Ekspozycja na azbest, radon, uran, arsen, i inne substancje rakotwórcze Predyspozycje genetyczne Bierne palenie Bliznowacenie tkanki płucnej po wcześniejszych chorobach Dodatkowe czynniki ryzyka Poza bezpośrednimi przyczynami wymienionymi powyżej, jest więcej czynników ryzyka, które również należy brać pod uwagę. Obciążenia rodzinne - Jesteś w grupie podwyższonego ryzyka, jeśli wśród rodziców lub rodzeństwa wystąpił rak płuca. W szczególności, gdy nowotwór był zdiagnozowany przed 50 rokiem życia, co sugeruje, że czynnik genetyczny odegrał dużą rolę Płeć - Pomimo tego, że większość osób zapadających i umierających z powodu raka płuca stanowią mężczyźni, ostatnie badania wskazują, że kobiety wypalające tyle samo papierosów co mężczyźni w tym samym wieku, mają większe ryzyko zachorowania. Badacze z Międzynarodowego programu na rzecz wczesnego wykrywania raka płuca (International Early Lung Cancer Action Program - IELCAP) w lipcu 2006 opublikowali wyniki badań, według których ryzyko rozwoju raka płuca u kobiet było 2 razy większe w stosunku do mężczyzn w równym wieku, wypalających tyle samo papierosów. Fakt ten został złagodzony nieco przez odkrycie, iż kobiety miały również mniejsze ryzyko zgonu z powodu tego nowotworu. Inne, przeprowadzone ostatnio badanie, opublikowane przez uczonych z Uniwersytetu Stanforda w lutym 2007 ujawniło, że niepalące kobiety miały dużo",05-09-2016,"znaczącą przyczyną raka płuca
palenie papierosów palenie
ryzyko zachorowania
kobiety wypalające
samym wieku","palenie papierosów
palenie bierne
rak płuca","palenie papierosów
rak płuca
ryzyko zachorowania
palenie papierosów",zdrowie,"radon
uran
Międzynarodowy program na rzecz wczesnego wykrywania raka płuca
International Early
Lung Cancer Action
program
IELCAP
Uniwersytet Stanforda"
1707,15082,forummedyczne.edu.pl,Przyczyny bólów brzucha,"BÓLE BRZUCHA mogą być wywołane przez wiele różnych przyczyn od błahych do stanów zagrażających życiu.Mogą być trzewne - tępe, piekące,palące, słabo zlokalizowane spowodowane często przez skurcz, rozciągnięcie, niedokrwienie, martwicę jakiegoś narządu w jamie brzusznej, którym często towarzyszą objawy wegetatywne jak nudności, wymioty, biegunka, bladość, pocenie się lub somatyczne ,które najczęściej związane są z toczącym się stanem zapalnym w jamie brzusznej. W uproszczeniu można podzielić bóle brzucha spowodowane chorobami narządów rurowych (jak jelita, drogi moczowe, żółciowe i trzustkowe) co wywołane jest przez ich niedrożność, owrzodzenie, zapalenie, perforację lub niedokrwienie oraz miąższowych (jak wątroba, nerki, śledziona) co jest spowodowane powiększeniem wskutek zakażenia, upośledzenia odpływu wydzielanej treści,przekrwienia a także inne przyczyny brzusznej i pozabrzuszne.Należy zwrócić szczególną uwagę na lokalizację bólu, charakter bólu, natężenie bólu, przebieg bólu, czynniki łagodzące i nasilające ból, objawy towarzyszące. Przyczyny: • zapalenia obejmujące ściany narządów : wyrostka robaczkowego, pęcherzyka żółciowego, trzustki, uchyłków jelita grubego, otrzewnej. • zmiany obejmujące błonę śluzową narządów:chroba wrzodowa,nieswoiste choroby zapalne jelit, infekcyjne zapalenia jelit. • niedrożność: jelit (zrosty, przepukliny, nowotwory złośliwe), dróg żółciowych i moczowych ( kamica, zwężenia, guzy łagodne i złośliwe) • rozciąganie torebki narządów: zapalenia wątroby, nerek, macicy, torbiele jajnika, ciąża pozamaciczna • zmiany naczyniowe: niedokrwienie jelit,tętniak aorty brzusznej,martwica guza • zaburzenia czynnościowe : zespół jelita nadwrażliwego,, dyspepsja czynnościowa • inne przyczyny pozabrzuszne:neurologiczne, mięsniowo-szkieletowe, sercowo-płucne, toksyczno-metaboliczne Diagnostyka: Ze względu na dużą różnorodność bólów i ich przyczyn każdy przedłużający lub nasilający się ból wymaga wizyty u lekarza celem badania ogólnego i zaplanowania odpowiedniej diagnostyki i leczenia. Specyficznym i często występującym rodzajem bólów brzucha jest ból spastyczny( skurczowy),który pojawia się nagle. Skutkiem silnych, pojedynczych skurczów mięśni brzucha jest kłujący ból doprowadzający niejednokrotnie do utraty tchu. Przyczyna tych nagłych skurczów jest niejasna i zazwyczaj są one niegroźne i przemijające choć bardzo nieprzyjemne, ale pamiętać należy, ze mogą one również towarzyszyć wielu groźnym, a nawet niebezpiecznym dla życia chorobom i stanom. Jeśli więc trwają one długo lub często nawracają, są wskazaniem do bezwzględnej wizyty u lekarza. Jak zapobiegać spastycznym bólom brzucha: • podróżując, bądź szczególnie ostrożny przy spożywaniu pokarmów, które mogą zawierać bakterie czy pasożyty - jedz pokarmy z wiadomych źródeł, pij wyłącznie butelkowaną wodę; • pamiętaj",28-08-2016,"nasilające ból
infekcyjne zapalenia jelit
lokalizację bólu
jelita
niedokrwienie","bóle brzuszne
zaburzenia czlowieka
choroby trzewne
przyczyny brzuszne","choroby narządów rurowych
bóle brzucha
zaburzenia wegetatywne",zagranica,
1632,15106,forummedyczne.edu.pl,"Przeciwciała IgG i IgM dla różyczki, interpretacja wyników","Przeciwciała IgG i IgM dla różyczki oznacza się w celu potwierdzenia odpowiedniej ochrony przeciw zakażeniu oraz w celu wykrycia istniejącego lub przebytego zakażenia. Badanie można stosować również w celu wykrycia osób, które nigdy nie miały kontaktu z wirusem różyczki i nie były szczepione. Test wykrywający przeciwciała IgG przeciw różyczce wykonuje się u wszystkich kobiet w ciąży i u kobiet, które planują zajście w ciążę, aby sprawdzić, czy mają one odpowiedni poziom ochronnych przeciwciał, zabezpieczających przed zakażeniem. 1. Kiedy przeprowadza się testy? U kobiet, u których występują objawy wskazujące na różyczkę, niezależnie od tego, czy są w ciąży czy nie, wykonuje się test wykrywający przeciwciała IgG i IgM. Przeciwciała IgG i IgM zleca się kobietom ciężarnym, u których wystąpiła gorączka i wysypka i/lub inne objawy sugerujące różyczkę. Testy na obecność przeciwciał IgG i IgM przeciw różyczce mogą być również przeprowadzone u noworodka podejrzanego o zakażenie w okresie płodowym lub wykazującego wrodzone wady, mogące wskazywać na różyczkę (głuchota, katarakta, nieprawidłowości w układzie sercowo-naczyniowym, zaburzenia ośrodkowego układu nerwowego). Ponieważ wytworzenie przeciwciał IgG i IgM dla różyczki wymaga pewnego czasu od chwili zakażenia, testy muszą być powtórzone po dwóch lub trzech tygodniach, aby stwierdzić, czy przeciwciała się pojawiły (jeżeli w pierwszym badaniu ich nie wykryto) lub czy poziom ich wzrósł bądź obniżył się w tym czasie. Czasami badanie przeciwciał IgG przeciw różyczce wykonuje się w celu potwierdzenia odporności na zakażenie wirusem różyczki. Może to być wymagane u pracowników służby zdrowia. 2. Różyczka – interpretacja wyników 2.1. Badanie przed ciążą IgG (-), IgM (-) oznacza brak kontaktu z chorobą. Pacjentka nie jest odporna na wirusa różyczki i możliwe jest zakażenie. Należy się zaszczepić. Przez trzy miesiące po szczepieniu nie wolno zajść w ciążę. IgG (+), IgM (-) oznacza, że osoba zetknęła się z wirusem już wcześniej i jest to późna faza toczącego się zakażenia lub przeciwciała pochodzą z zakażenia dawno przebytego. Niezwykle ważne jest odróżnienie tych dwóch sytuacji. W tym celu należy ponownie oznaczyć poziom przeciwciał po trzech tygodniach. Jeśli miano przeciwciał wzrośnie, to jest to przewlekła faza zakażenia (należy stosować leczenie). Jeżeli miano przeciwciał spadnie lub nie zmieni się, zakażenie różyczką zostało już przebyte",03-10-2016,"przeciwciała igg
chwili zakażenia
obecność przeciwciał igg
testy
zakażenie","diagnostyka
różyczka
zakażenie","przeciwciała IgG i IgM
ciąża
test wykrywający przeciwciała przeciw różyczce","gospodarka
zdrowie
zagranica",
80,15150,forummedyczne.edu.pl,"Jaka dieta, jaka suplementacja, czyli jak uniknąć otyłości","Jaka dieta, jaka suplementacja, czyli jak uniknąć otyłości i urodzić zdrowe dziecko Czy kobieta w ciąży musi być otyła? - pytał prof. Maciej Wilczak i odpowiadał: absolutnie nie, ale należy przestrzegać zasad dietetycznych jeszcze przed zajściem w ciążę i podczas niej oraz przyjmować rekomendowane suplementy diety takie jak kwas foliowy, który wpływa na rozwój płodu. Brak nadwagi i otyłości to także klucz do satysfakcjonującego życia seksualnego w ciąży.",16-09-2016,"otyłości
ciąży
brak nadwagi
kobieta
zdrowe dziecko","dieta
otyłość
suplementacja
zywienie czlowieka","dieta
otyłość
dieta",zdrowie,Maciej Wilczak
862,15163,forummedyczne.edu.pl,"OLEJEK MIĘTOWY stosowany w aromaterapii, udrożnieniu nosa","OLEJEK MIĘTOWY stosowany w aromaterapii, posiada wiele zastosowań, wśród których można wyliczyć: pomoc w udrożnieniu nosa w przebiegu kataru oraz wpływające na lepsze samopoczucie, koncentrację i łagodzenie dolegliwości bólowych. Skład: opakowanie zawiera 10 ml olejku miętowego Działanie: Preparat należy do szerokiej grupy naturalnych olejków eterycznych. Stosowanie go pozwala wspomagać leczenie nieżytu nosa, ponieważ udrażnia i oczyszcza jamy nosowe. Dodatkowo korzystnie wpływa na nastrój w przypadku apatii oraz neutralizuje dolegliwości bólowe. Wskazania: Zaleca się stosować produkt w przypadku kataru, przeziębienia, apatii oraz dolegliwości bólowych. Dawkowanie: Stosować zewnętrznie. Do kąpieli dodać 5 kropli na ½ wanny. W ramach masażu 2-3 krople olejku wymieszać z łyżką oliwy z oliwek.",08-09-2016,"łagodzenie dolegliwości bólowych
przebiegu kataru
przypadku apatii
olejek miętowy stosowany
lepsze samopoczucie","aromaterapia
olejek miętowy","olejek miętowy
aromaterapia
olejek miętowy",uroda,
100,15164,forummedyczne.edu.pl,[Film] Kaszel u dziecka,Kaszel u dziecka może być objawem różnych schorzeń. Jakie mogą być przyczyny kaszlu u dziecka i jak sobie z nim radzić?,05-10-2016,"dziecka
przyczyny kaszlu
objawem różnych schorzeń
kaszel","kaszel
kaszel u dziecka","kaszel
dziecko
kaszel u dziecka",zdrowie,
